railway,station,x,y,tokyo
3号線,岸根公園,-19668,-55948,25193
3号線,片倉町,-20587,-56557,26205
3号線,三ツ沢下町,-19793,-58058,27057
3号線,横浜,-19348,-59289,27910
3号線,センター北,-23129,-49539,22582
3号線,新横浜,-19601,-54445,23903
3号線,桜木町,-18390,-61040,29043
3号線,関内,-17912,-61469,29236
3号線,センター南,-23486,-50411,23427
3号線,あざみ野,-25305,-47896,23302
3号線,中川,-23900,-48441,22484
金沢シーサイドライン,八景島,-17498,-73105,40032
金沢シーサイドライン,産業振興センター,-16996,-71716,38558
金沢シーサイドライン,野島公園,-18343,-74246,41370
金沢シーサイドライン,幸浦,-17234,-71164,38098
金沢シーサイドライン,海の公園柴口,-17945,-72968,40031
金沢シーサイドライン,並木北,-17318,-69653,36682
金沢シーサイドライン,鳥浜,-17402,-69080,36162
金沢シーサイドライン,金沢八景,-19169,-74171,41551
金沢シーサイドライン,並木中央,-17297,-70381,37369
金沢シーサイドライン,新杉田,-19313,-68129,35921
金沢シーサイドライン,海の公園南口,-18289,-73513,40654
金沢シーサイドライン,南部市場,-18182,-68745,36099
金沢シーサイドライン,福浦,-16796,-72139,38909
金沢シーサイドライン,市大医学部,-16652,-72772,39479
清輝橋線,柳川,-541802,-132117,544506
清輝橋線,田町,-541742,-132652,544542
清輝橋線,郵便局前,-541729,-132433,544491
清輝橋線,新西大寺町筋,-541755,-132880,544596
清輝橋線,大雲寺前,-541770,-133114,544653
清輝橋線,清輝橋,-541844,-133654,544824
東山本線,西川緑道公園,-541990,-132106,544689
東山本線,岡山駅前,-542321,-132090,545012
東山本線,西大寺町,-541366,-132911,544219
東山本線,東山・おかでんミュージアム,-540243,-133252,543176
東山本線,柳川,-541802,-132117,544506
東山本線,県庁通り,-541346,-132463,544119
東山本線,門田屋敷,-540609,-133231,543533
東山本線,城下,-541395,-132138,544109
東山本線,中納言,-540731,-133076,543625
東山本線,小橋,-540820,-133057,543709
