station,x,y,tokyo
地下鉄赤塚,-17118,-25503,14395
京急蒲田,-9881,-48622,14397
芦花公園,-20376,-36530,14413
市川塩浜,8176,-36998,14430
矢切,6078,-26901,14460
蒲田,-10633,-48533,14529
谷塚,-2879,-20540,14552
南鳩ヶ谷,-8786,-20400,14590
鵜の木,-13847,-47097,14601
菅野,7785,-30143,14601
蓮沼,-11306,-48368,14601
整備場,-7250,-49355,14666
光が丘,-18455,-26777,14718
下丸子,-13400,-47548,14758
練馬高野台,-19582,-28755,14772
高島平,-15551,-23403,14773
武蔵新田,-12771,-47945,14809
祖師ヶ谷大蔵,-20243,-39554,14965
矢口渡,-12055,-48535,15038
糀谷,-9405,-49426,15061
本八幡,8510,-30966,15065
久我山,-21179,-34574,15105
大鳥居,-8441,-49663,15112
新丸子,-15533,-46531,15118
千歳烏山,-21090,-36826,15159
八潮,1030,-21327,15175
二子玉川,-18751,-43096,15184
西荻窪,-21164,-32838,15208
京成八幡,8579,-30632,15218
羽田空港第2ビル,-4091,-49835,15228
穴守稲荷,-7855,-49883,15250
新高島平,-16180,-23259,15292
羽田空港国内線ターミナル,-4304,-49954,15320
西川口,-11654,-20460,15328
上井草,-20841,-30457,15374
羽田空港第1ビル,-4414,-50024,15377
天空橋,-7138,-50104,15404
武蔵小杉,-15400,-47174,15545
向河原,-15049,-47451,15563
戸田公園,-14006,-21316,15588
成増,-18116,-24659,15702
二子新地,-19081,-43545,15708
羽田空港国際線ターミナル,-6008,-50479,15742
石神井公園,-20511,-28418,15758
地下鉄成増,-18277,-24750,15767
北国分,7314,-26306,15822
羽田空港国際線ビル,-5869,-50597,15862
雑色,-10725,-49943,15901
西高島平,-16961,-23072,15955
鬼越,9457,-31085,15955
成城学園前,-21214,-39899,15995
原木中山,9825,-32911,16005
三鷹台,-22086,-34138,16022
草加,-2699,-19040,16055
新整備場,-4217,-50720,16090
鳩ヶ谷,-8779,-18767,16196
松戸,6101,-23923,16284
下総中山,9928,-31693,16290
武蔵中原,-17327,-46517,16291
高津,-19540,-43972,16328
上石神井,-21806,-30350,16331
平間,-14707,-48740,16450
京成中山,10047,-31397,16464
仙川,-22461,-37429,16606
井の頭公園,-22643,-33554,16610
武蔵新城,-18508,-45754,16613
元住吉,-16191,-48167,16814
産業道路,-8423,-51406,16834
吉祥寺,-22896,-32999,16911
東門前,-8977,-51407,16921
戸田,-14794,-20224,16930
小島新田,-7778,-51625,16974
蕨,-12912,-19081,17083
六郷土手,-11404,-50968,17083
溝の口,-20186,-44377,17090
武蔵溝ノ口,-20111,-44486,17090
東中山,10794,-31677,17144
鹿島田,-14356,-49751,17147
川崎大師,-9733,-51498,17155
喜多見,-22329,-40300,17180
新川崎,-14668,-49721,17273
秋山,8862,-26020,17294
鈴木町,-10217,-51540,17306
新井宿,-8601,-17419,17500
二俣新町,11423,-34239,17505
西船橋,11284,-32390,17517
港町,-10946,-51574,17528
つつじヶ丘,-23372,-37912,17586
津田山,-21075,-43947,17602
獨協大学前,-2950,-17384,17631
京成西船,11356,-31979,17648
大泉学園,-22295,-27780,17649
上本郷,7457,-23364,17676
武蔵関,-23246,-30189,17763
梶が谷,-20629,-45049,17837
久地,-21766,-43230,17842
和光市,-19929,-23459,17864
京急川崎,-12005,-51801,18065
矢向,-13865,-51094,18117
狛江,-23183,-40770,18141
北戸田,-15530,-19207,18181
北松戸,7076,-22145,18206
松戸新田,8044,-23222,18219
日吉,-16890,-49466,18273
三郷中央,4069,-19471,18328
川崎,-12380,-51983,18363
市川大野,10666,-27130,18388
柴崎,-24149,-38355,18433
東松戸,9917,-25517,18459
みのり台,8628,-23367,18586
和泉多摩川,-23514,-41305,18635
宿河原,-22990,-42637,18669
三鷹,-24676,-32950,18687
海神,12528,-32617,18723
新田,-3423,-16185,18740
船橋法典,12065,-29895,18775
尻手,-13515,-52025,18821
東伏見,-24403,-30059,18915
戸塚安行,-7185,-15632,19136
保谷,-23993,-27898,19179
登戸,-23830,-42050,19202
国領,-24892,-38775,19246
朝霞,-21062,-22523,19334
宮崎台,-21967,-45778,19351
八柱,9419,-23133,19357
日吉本町,-18132,-49915,19385
八丁畷,-12874,-52903,19396
新八柱,9511,-23150,19421
馬橋,7589,-20889,19454
東海神,13321,-32612,19512
新船橋,13254,-31990,19523
川崎新町,-12160,-53430,19658
船橋,13667,-33040,19815
向ヶ丘遊園,-24343,-42427,19820
布田,-25500,-38809,19848
京成船橋,13741,-33268,19870
南浦和,-14849,-16897,19880
西武柳沢,-25413,-30076,19892
松飛台,11231,-24919,19897
小田栄,-11633,-53864,19919
塚田,13531,-30818,19994
蒲生,-3753,-14767,20104
宮前平,-22732,-46013,20114
鶴見市場,-13318,-53510,20122
浜川崎,-10844,-54312,20148
高田,-19288,-49953,20152
武蔵境,-26158,-33033,20155
昭和,-9922,-54705,20335
大神宮下,14302,-33941,20392
調布,-26132,-38595,20425
東浦和,-11637,-15077,20431
綱島,-18003,-51369,20467
中野島,-25565,-41010,20475
武蔵浦和,-16842,-17133,20635
三郷,4832,-17213,20640
東山田,-20606,-49433,20667
南船橋,14696,-35305,20779
新松戸,7919,-19350,20798
南流山,6275,-17923,20861
幸谷,7835,-19185,20865
扇町,-10061,-55272,20919
東川口,-8063,-13846,20984
船橋競馬場,14910,-34426,20987
常盤平,10493,-21833,21000
北山田,-21798,-48669,21008
新越谷,-3929,-13804,21041
田無,-26628,-30226,21042
南越谷,-3808,-13751,21107
鷺沼,-23580,-46595,21143
大町,12663,-24936,21146
ひばりヶ丘,-26006,-27539,21190
新三郷,3269,-15710,21197
武蔵白石,-11503,-55250,21219
馬込沢,14369,-28650,21331
京王多摩川,-26897,-39442,21347
鶴見,-14249,-54518,21403
小金城趾,7547,-18189,21433
浦和,-15912,-15677,21448
西浦和,-18569,-17267,21477
朝霞台,-22232,-20569,21489
鰭ヶ崎,7026,-17641,21538
京急鶴見,-14129,-54721,21546
安善,-11983,-55481,21569
東船橋,15450,-33289,21574
北朝霞,-22238,-20444,21576
越谷レイクタウン,-999,-13745,21596
稲田堤,-26935,-40630,21676
西調布,-27509,-37976,21677
新小金井,-27746,-33692,21696
くぬぎ山,12867,-24140,21705
吉川美南,2238,-14635,21753
五香,11970,-22482,21813
大川,-11064,-55974,21815
生田,-26410,-42681,21831
谷津,15783,-34905,21859
中浦和,-17697,-16200,21879
浅野,-12488,-55728,21949
京王稲田堤,-27294,-40545,22000
東小金井,-28014,-33066,22002
北小金,8801,-18504,22017
大倉山,-18457,-52963,22034
元山,12866,-23253,22150
飛田給,-28037,-37678,22159
吉川,894,-13686,22174
国道,-14299,-55374,22216
弁天橋,-13050,-55928,22310
越谷,-4252,-12477,22334
花月園前,-14558,-55423,22358
たまプラーザ,-24894,-46848,22380
流山,6186,-15996,22395
鶴見小野,-13795,-55791,22425
新習志野,16263,-36885,22441
新芝浦,-12085,-56360,22443
中川,-23900,-48441,22484
北初富,14146,-24778,22540
新羽,-20069,-52417,22548
東久留米,-27090,-26535,22558
多磨,-28621,-35808,22571
鎌ヶ谷,14827,-26194,22580
センター北,-23129,-49539,22582
矢野口,-28336,-39702,22808
志木,-23315,-19698,22877
流山セントラルパーク,7392,-16129,22969
新座,-25038,-21733,22993
津田沼,16914,-34224,22994
読売ランド前,-27656,-42700,23004
生麦,-15060,-55947,23034
